Symbol,Name,Composition,agg_state,logK,sigma logK,DrHm [kJ/mol],sigma DrHm [kJ/mol],DrCpm [J/(K mol)],sigma DrCpm [J/(K mol)],T-min,T-max,Reaction
Nb2O5(pr),Nb2O5(pr),Nb2O5,s,16,0.5,,,,,,,2 Nb(OH)5(aq) -5 H2O(l) = Nb2O5(pr)
Na7HNb6O19w15(cr),Na7HNb6O19:15H2O(cr),Na7HNb6O19(H2O)15,s,11.6,,,,,,,,7 Na+ 1 HNb6O19-7 15 H2O(l) = Na7HNb6O19w15(cr)
