Symbol,Name,Composition,agg_state,logK,sigma logK,DrHm [kJ/mol],sigma DrHm [kJ/mol],DrCpm [J/(K mol)],sigma DrCpm [J/(K mol)],T-min,T-max,Reaction
RaCO3(cr),RaCO3(cr),RaCO3,s,7.57,0.7,-3.4,1,430.8,5,25,,1 Ra+2 1 CO3-2 = RaCO3(cr)
RaSO4(cr),RaSO4(cr),RaSO4,s,10.26,0.3,-38.8,1,428.3,3.8,10,70,1 Ra+2 1 SO4-2 = RaSO4(cr)
