Symbol,Name,Composition,agg_state,DfGm [kJ/mol],sigma DfGm [kJ/mol],DfHm [kJ/mol],sigma DfHm [kJ/mol],Sm [J/(K mol)],sigma Sm [J/(K mol)],Cpm [J/(K mol)],sigma Cpm [J/(K mol)]
HSeO4-,HSeO4-,HSe|+6|O4-,aq,-449.5,1.3,-582.7,4.7,136.2,16.4,,
SeO3-2,SeO3-2,Se|+4|O3-2,aq,-362.39,1.76,-507.2,1.1,5.1,7,,
H2Se(aq),H2Se(aq),H2Se|-2|(aq),aq,21.5,2,14.3,2,148.6,1,,
Se(cr),Selenium,Se|0|,s,0,,0,,42.09,0.33,25.09,0.3
