Symbol,Name,Composition,agg_state,DfGm [kJ/mol],sigma DfGm [kJ/mol],DfHm [kJ/mol],sigma DfHm [kJ/mol],Sm [J/(K mol)],sigma Sm [J/(K mol)],Cpm [J/(K mol)],sigma Cpm [J/(K mol)]
U+4,U+4,U|+4|+4,aq,-529.9,1.8,-591.2,3.3,-416.9,12.6,-220,50
UO2+,UO2+,U|+5|O2+,aq,-961,1.8,-1025.1,3,-25,8,,
UO2+2,UO2+2,U|+6|O2+2,aq,-952.55,1.75,-1019,1.5,-98.2,3,42.4,3
