XNAME,FULLNAME,COND,FIRST,LAST,G,S,H,A,B,C,D,E,F,Table2_NAME,Table2_FORMULA,Table2_Mineral_Name,molar_volume(cm^3/mol),molar_volume(J/bar),Table2_Quelle,Table2_Bemerkungen
MgBr2,[],(G),298.15,6000,-349723.9862,296.3206056,-301741.8242,60.62408447,0.003699844,-261962,0,-2.87882E-06,7.7034E-10,,,,,,,
MgBr,[],(G),298.15,6000,-42090.0154,244.8656583,6152.400383,36.76808166,0.001878105,-140514,0,-1.0456E-06,3.22243E-10,,,,,,,
MgBr2,[],(C),298.15,984,-519774.0755,117.0073898,-525997.8038,75.868,0.012,-553500,0,0,0,MgBr2, MgBr2,,55.30011417,5.530011417,Materialsproject,
MgBr2,[],(L),298.15,2700,-471236.4904,133.53753,-499265.7237,100,0,0,0,0,0,,,,,,,
MgCO3,[],(C),298.15,1263,-1019691.998,65.0976464,-1095997.718,73.335,0.06399,-1449500,0,0,0,MgCO3, MgCO3,Magnesit,28.26592135,2.826592135,Webmineral,
MgCO3,[],(L),298.15,1500,-957712.058,55.18400938,-1066486,150,0,0,0,0,0,,,,,,,
CaMgO2,[],(C),298.15,1800,-1198666.926,66.30855561,-1242766.613,97.79854,0.00765489,-1823788,0,0,0,CaMgO2, CaMgO2,,24.4,2.44,,
MgCe,[],(C),298.15,1013,-29685.96356,105.6260078,-16103.43229,44.54895,0.02585094,0,0,0,0,,,,,,,
MgCl,[],(G),298.15,6000,-81510.51245,233.3120093,-54704.83732,36.03850555,0.003417388,-181426,0,-2.24597E-06,6.27989E-10,,,,,,,
MgCl2,[],(C),298.15,987,-595206.3915,89.6272005,-644297.8597,75.655,0.009975,-644000,0,0,0,MgCl2, MgCl2,,46.32832887,4.632832887,Materialsproject,
MgCl2,[],(L),298.15,2900,-548717.4671,91.67268781,-620748.4008,88.144,0,5920000,0,0,0,,,,,,,
MgCl2,[],(G),298.15,6000,-403361.0661,272.1279715,-398169.1237,58.86003876,0.007401053,-360726,0,-5.72615E-06,1.52615E-09,,,,,,,
MgCr2O4,[],(C),298.15,2623,-1667963.654,105.8426548,-1752004.197,167.40366,0.01489148,-4007314,0,0,0,MgCr2O4, MgCr2O4,Magnesiochromit,42.68568647,4.268568647,Webmineral,
MgF,[],(G),298.15,6000,-258637.4235,220.9813684,-232266.5141,32.16241455,0.011332848,-203696,0,-8.30298E-06,2.2093E-09,,,,,,,
MgF2,[],(C),298.15,1536,-1074984.688,57.2062189,-1124198.153,77.81,0.00405,-1549500,0,0,0,MgF2, MgF2,Sellait,20.12599442,2.012599442,Webmineral,
MgF2,[],(L),298.15,4200,-1001269.65,64.06925083,-1086318.935,94.8,0,0,0,0,0,,,,,,,
MgF2,[],(G),298.15,6000,-741302.6512,247.4358246,-736498.9315,52.4395752,0.020464813,-443712,0,-1.55666E-05,4.09967E-09,,,,,,,
Mg2Ge,[],(C),298.15,1388,-122773.9789,72.91725616,-115155.7441,73.41165,0.0179869,-317908,0,0,0,,,,,,,
Mg2Ge,[],(L),298.15,2500,21055.71012,121.4147068,-36014.84929,93.49005,0,0,0,0,0,,,,,,,
MgH,[],(G),298.15,6000,200874.9289,193.0871226,229785.7834,20.62293243,0.028703125,166628,0,-1.78169E-05,4.22797E-09,,,,,,,
MgH2,[],(C),298.15,600,-44455.3784,31.10356145,-75698.94046,24.831,0.035282,0,0,0,0,MgH2, MgH2,,18.48556328,1.848556328,Materialsproject,
MgH2,[],(L),298.15,1000,-36848.40018,30.00587683,-72058.677,75,0,0,0,0,0,,,,,,,
MgOH,[],(G),298.15,6000,-159448.1686,232.5033664,-147451.6381,51.27244568,0.001657364,-488616,0,2.63643E-06,-7.82769E-10,,,,,,,
MgO2H2,[],(C),298.15,1000,-844117.5064,63.18779202,-924347.6882,100.062,0.018314,-2525600,0,0,0,MgO2H2, MgO2H2,Brucit,24.63055571,2.463055571,Webmineral,Mg(OH)2
MgO2H2,[],(G),298.15,6000,-528172.4987,271.4735604,-552020.2181,90.78794861,0.001669967,-993772,0,6.61224E-06,-1.9347E-09,,,,,,,
MgI2,[],(C),298.15,906,-363874.1796,134.007513,-367097.7677,68.94,0.018564,0,0,0,0,,,,,,,
MgI2,[],(L),298.15,2000,-337672.6223,139.470357,-353182.9327,100,0,0,0,0,0,,,,,,,
MgI2,[],(G),298.15,6000,-215865.2926,313.709291,-163804.4225,61.1740036,0.002536925,-214044,0,-1.97982E-06,5.30927E-10,,,,,,,
MgI,[],(G),298.15,6000,11207.52246,252.2616466,61216.65044,37.04458618,0.001151001,-112168,0,-5.96317E-07,2.07729E-10,,,,,,,
MgLa,[],(C),298.15,1018,-30743.52132,93.07744833,-17985.30096,50.69796,0.01991108,0,0,0,0,,,,,,,
Mg,[],(C),298.15,923,1.00537437,32.68251181,0.746188123,22.03,0.010226,-20200,0,5.44E-07,0,Mg, Mg,,13.9984662,1.39984662,Mindat,
Mg,[],(L),298.15,2400,9105.97317,34.52256565,4827.4343,34.3,0,0,0,0,0,,,,,,,
Mg,[],(G),298.15,10000,113755.7402,148.5402066,147100.9775,20.78586578,3.48966E-07,6,0,-2.68878E-10,6.91056E-14,,,,,,,
Mg2,[],(G),298.15,3000,233770.0748,240.7320735,286514.0064,20.53067398,0.000318943,318434,0,-1.41753E-07,2.11429E-11,,,,,,,
MgMoO4,[],(C),298.15,1503,-1322468.891,118.809383,-1400632.367,105.36977,0.0527058,0,0,0,0,,,,,,,
MgN,[],(G),298.15,6000,434174.5361,219.0345141,470517.2199,27.848,0.018964,0,0,1.57914E-05,6.7776E-09,,,,,,,
Mg3N2,[],(C),298.15,2500,-413483.0858,85.00930138,-461297.2413,120.47,0.008611,-2754700,0,0,0,Mg3N2, Mg3N2,,37.91554878,3.791554878,Materialsproject,
MgN2O6,[],(C),298.15,699,-628656.4443,163.9861768,-790290.2517,44.67444,0.2978296,-748756,0,0,0,MgN2O6, MgN2O6,,64.4826087,6.44826087,,
MgO,[],(C),298.15,3100,-573404.6214,26.95376227,-601498.8835,45.816,0.009029,-972400,0,-4.046E-06,1.042E-09,MgO, MgO,Periklas,11.17859879,1.117859879,Webmineral,
MgO,[],(L),298.15,5100,-569494.3758,-26.65693846,-607534.7707,84,0,0,0,0,0,,,,,,,
MgO,[],(G),298.15,10000,8587.690851,213.3358917,32284.4248,-8.44888115,0.097602039,1302200,0,-3.22097E-05,-4.14319E-09,,,,,,,
Mg3P2O8,[],(L),298.15,3000,-3679551.529,-27.28125162,-3852622.865,474.540435,0,0,0,0,0,,,,,,,
Mg3P2O8,[],(C),298.15,1621,-3598332.774,189.1766971,-3779752.608,121.411575,0.335706665,108758,0,-0.000108779,0,Mg3P2O8, Mg3P2O8,Farringtonit,95.43587569,9.543587569,Webmineral,Mg3(PO4)2
MgSO4,[],(L),298.15,2000,-1178100.131,67.01840797,-1288557.899,155,0,0,0,0,0,,,,,,,
MgSO4,[],(C),298.15,1410,-1185908.724,91.60972979,-1288797.111,85.18,0.087575,-1167100,0,-1.9825E-05,0,MgSO4, MgSO4,,41.62202586,4.162202586,Materialsproject,
MgSeO3,[],(C),298.15,1069,-837392.1346,93.70832004,-899969.2807,76.5489,0.0472679,0,0,0,0,,,,,,,
MgTiO3,[],(C),298.15,1933,-1505182.831,74.55029239,-1570713.246,118.33707,0.01372024,-2731500,0,0,0,MgTiO3, MgTiO3,Geikielit,31.68750099,3.168750099,Webmineral,
Mg2TiO4,[],(C),298.15,2023,-2078526.33,109.1892389,-2164699.144,150.42068,0.03572282,-2882086,0,0,0,Mg2TiO4, Mg2TiO4,Qandilit,44.66922909,4.466922909,Materialsproject,data for pure Mg2Ti end member
MgTi2O5,[],(C),298.15,1953,-2399822.558,127.1779905,-2506449.592,170.16444,0.0384836,-3074504,0,0,0,MgTi2O5, MgTi2O5,"Armalcolit = (Mg,Fe)Ti2O5",56.32448031,5.632448031,Materialsproject,data for Mg end member
MgWO4,[],(C),298.15,1631,-1450095.304,101.2404142,-1534320.477,100.89396,0.05542475,0,0,0,0,,,,,,,
Mg3P2,[],(C),298.15,1200,-459370.3001,77.39566392,-464309.9695,80.3136,0.0694378,0,0,0,0,Mg3P2, Mg3P2,,66.17278821,6.617278821,Materialsproject,
Mg2Pb,[],(L),298.15,2000,833.0013738,159.8818956,-10771.51316,94.9541,0,0,0,0,0,,,,,,,
Mg2Pb,[],(C),298.15,822,-61710.19387,119.2231641,-48102.71481,65.88225,0.03450975,0,0,0,0,Mg2Pb, Mg2Pb,,49.833817,4.9833817,Materialsproject,
MgS,[],(C),298.15,2500,-344778.6099,50.33458095,-347998.634,45.544,0.008757,-230700,0,0,0,MgS, MgS,,21.52493772,2.152493772,Materialsproject,
MgS,[],(L),298.15,4000,-259947.9479,47.91409401,-305945.9311,67,0,0,0,0,0,,,,,,,
MgS,[],(G),298.15,6000,72507.54632,225.5331813,120564.9829,-0.48466134,0.166682983,31272,0,-0.00016869,5.14824E-08,,,,,,,
Mg3Sb2,[],(C),298.15,1198,-309466.56,130.3130183,-300084.2525,112.941,0.0401568,0,0,0,0,Mg3Sb2, Mg3Sb2,,80.37992158,8.037992158,Materialsproject,
Mg3Sb2,[],(L),298.15,3000,-203957.6157,161.2680056,-242717.516,160.6272,0,0,0,0,0,,,,,,,
MgSe,[],(C),298.15,1900,-279226.8716,61.49492596,-272730.5611,42.87575,0.01706664,0,0,0,0,,,,,,,
MgTe,[],(C),298.15,1500,-217974.2197,74.4615016,-209148.777,37.647,0.0104575,0,0,0,0,,,,,,,
MgB12,[],(C),298.15,2000,-159455.1824,89.61525195,-143925.4532,268.6877953,0.056462432,-11930766,0,3.26452E-06,0,,,,,,,
CaB2O4,[],(C),298.15,1435,-1948704.133,105.0037542,-2030048.885,129.75666,0.04082608,-3375680,0,0,0,,,,,,,
CaB2O4,[],(L),298.15,2500,-1850220.025,122.6398896,-1978179.006,192.418,0,0,0,0,0,,,,,,,
CaB4O7,[],(C),298.15,1260,-3206368.926,134.7084883,-3358609.263,214.75522,0.08014628,-7178028,0,0,0,,,,,,,
CaB4O7,[],(L),298.15,2500,-3044593.507,185.0624358,-3270217.023,322.091,0,0,0,0,0,,,,,,,
Ca2B2O5,[],(C),298.15,1585,-2628850.149,143.9100012,-2731494.585,183.00625,0.0481045,-4471628,0,0,0,,,,,,,
Ca2B2O5,[],(L),298.15,2500,-2490658.914,164.8531497,-2659278.753,263.529,0,0,0,0,0,,,,,,,
Ca3B2O6,[],(C),298.15,1760,-3304142.613,183.6525979,-3427837.365,236.08852,0.04358686,-5446266,0,0,0,,,,,,,
Ca3B2O6,[],(L),298.15,3000,-3094658.684,216.218729,-3318244.167,317.908,0,0,0,0,0,,,,,,,
Ca3Bi2,[],(C),298.15,1203,-539114.2268,177.7907529,-527054.0484,124.2351,0.025098,0,0,0,0,,,,,,,
CaBr,[],(G),298.15,6000,-79461.23351,253.374484,-30880.04188,37.16931152,0.001059271,-94868,0,-3.69202E-07,1.31724E-10,,,,,,,
CaBr2,[],(C),298.15,1015,-679220.3099,130.0075739,-684997.7501,73.771,0.013192,-235000,0,0,0,CaBr2, CaBr2,,61.94404096,6.194404096,Materialsproject,
CaBr2,[],(L),298.15,3800,-648745.7612,134.7971411,-669046.8994,100,0,0,0,0,0,,,,,,,
CaBr2,[],(G),298.15,6000,-437687.3988,310.0247269,-388395.3889,61.9132843,0.00095985,-164688,0,-7.5262E-07,2.02506E-10,,,,,,,
CaBrOH,[],(G),298.15,6000,-499110.769,312.2010335,-480577.1829,74.9262085,-0.004454329,-553548,0,7.6518E-06,-2.17962E-09,,,,,,,
CaCO3,[],(C),298.15,1603,-1133448.915,91.71843738,-1206597.498,99.546,0.027137,-2148100,0,0,0,CaCO3, CaCO3,Kalzit,36.91371548,3.691371548,Webmineral,
CaCO3,[],(L),298.15,2000,-1147085.336,36.24348612,-1221683.731,160,0,0,0,0,0,,,,,,,
Ca,[],(C),298.15,1115,1.152910759,41.60260564,0.778063527,16.314,0.022209,267200,0,0,0,Ca, Ca,,25.46868715,2.546868715,Materialsproject,in my opinion this is the good structure for elementary Ca because Hf=0 after Materialsproject
Ca,[],(L),298.15,3300,19362.87699,50.78708467,11050.3363,31,0,0,0,0,0,,,,,,,
Ca,[],(G),298.15,10000,144525.3851,154.7784869,177800.9878,20.76078796,8.30103E-05,712,0,-9.39828E-08,3.51248E-11,,,,,,,
CaCl,[],(G),298.15,6000,-130865.1545,241.5252558,-103772.5513,36.79039764,0.001826547,-139408,0,-1.01058E-06,2.93287E-10,,,,,,,
CaCl2,[],(C),298.15,1048,-748845.9289,108.4073444,-795797.8172,71.877,0.012719,-251000,0,0,0,CaCl2, CaCl2,Hydrophilit,50.74255804,5.074255804,Webmineral,
CaCl2,[],(L),298.15,3900,-783660.5443,6.690068438,-828363.003,89.66,0,22129000,0,0,0,,,,,,,
CaCl2,[],(G),298.15,6000,-491767.9151,286.2854563,-485241.8155,61.38518524,0.002092005,-251424,0,-1.63597E-06,4.39225E-10,,,,,,,
CaClOH,[],(G),298.15,6000,-545288.1911,300.2030133,-548228.1202,74.65504456,-0.003870375,-598794,0,7.19453E-06,-2.05672E-09,,,,,,,
CaF,[],(G),298.15,6000,-303080.8344,229.0243835,-276404.4827,34.44947815,0.006667503,-211598,0,-4.79652E-06,1.29476E-09,,,,,,,
CaF2,[],(C),298.15,1691,-1178489.127,68.45673482,-1227997.99,122.478,-0.110307,-2651500,0,8.1731E-05,0,CaF2, CaF2,Fluorit,24.54624574,2.454624574,Webmineral,
CaF2,[],(L),298.15,4500,-1123634.992,67.92641797,-1200650.876,99,0,0,0,0,0,,,,,,,
CaF2,[],(G),298.15,6000,-801516.1361,274.2802354,-790828.6529,53.71109772,0.009526291,-422216,0,-7.38463E-06,1.97086E-09,,,,,,,
CaFOH,[],(G),298.15,6000,-686289.8455,290.4143184,-688675.7112,72.89881897,-0.000151975,-690090,0,4.3163E-06,-1.28935E-09,,,,,,,
CaH,[],(G),298.15,6000,199870.17,201.7310745,229406.2207,21.72386932,0.029239996,95642,0,-1.98285E-05,5.00735E-09,,,,,,,
CaH2,[],(C),298.15,1273,-145436.61,41.40413438,-176998.7708,29.93,0.037129,0,0,0,0,CaH2, CaH2,,21.48654657,2.148654657,Materialsproject,
CaH2,[],(L),298.15,2000,-118959.9621,35.07132035,-164704.6196,75,0,0,0,0,0,,,,,,,
CaIOH,[],(G),298.15,6000,-415006.7794,319.6876911,-394720.1939,75.01210022,-0.004640621,-528610,0,7.79852E-06,-2.21925E-09,,,,,,,
CaOH,[],(G),298.15,6000,-189254.0165,238.7342254,-177254.9732,52.5065918,-0.000827654,-524858,0,4.49184E-06,-1.2642E-09,,,,,,,
CaO2H2,[],(C),298.15,1023,-907016.251,83.40882346,-985897.3767,89.264,0.033112,-1035500,0,0,0,CaO2H2, CaO2H2,Portlandit,32.80862286,3.280862286,Webmineral,Ca(OH)2
CaO2H2,[],(L),298.15,1500,-905217.5084,51.85503152,-989700.7128,153,0,0,0,0,0,,,,,,,
CaO2H2,[],(G),298.15,6000,-586461.9874,291.922626,-605603.3296,88.80635071,-0.002568761,-1053634,0,9.70468E-06,-2.72438E-09,,,,,,,
CaPO4H,[],(C),298.15,1000,-1713457.212,111.3624612,-1813954.721,138.37364,0.05509011,-4036594,0,0,0,CaPO4H, CaPO4H,Monetit,46.64148019,4.664148019,Webmineral,
CaHfO3,[],(C),298.15,2000,-1709790.432,100.4067656,-1778188.599,120.8887,0.01355292,1945096,0,0,0,,,,,,,
CaI2,[],(G),298.15,6000,-315096.0842,326.4686476,-261917.517,62.09104156,0.000578047,-123842,0,-4.54415E-07,1.22542E-10,,,,,,,
CaI,[],(G),298.15,6000,-38249.81406,261.0989935,12187.12145,37.27708435,0.000864132,-70788,0,-3.18556E-07,8.44542E-11,,,,,,,
CaI2,[],(C),298.15,1056,-535243.6038,145.3077544,-537997.6912,71.944,0.018995,-55200,0,0,0,,,,,,,
CaI2,[],(L),298.15,4500,-483783.3971,159.7284975,-510118.8279,103,0,0,0,0,0,,,,,,,
Ca3N2,[],(C),298.15,1468,-402944.4425,107.9328413,-439211.5903,138.75011,0.0154771,-2631106,0,0,0,Ca3N2, Ca3N2,,56.87851726,5.687851726,Materialsproject,
CaN2O6,[],(C),298.15,833,-782992.007,193.2696183,-937824.5238,122.85471,0.1539344,-1727578,0,0,0,CaN2O6, CaN2O6,,72.02796511,7.202796511,Materialsproject,Ca(NO3)2
CaO,[],(C),298.15,2900,-606826.7499,38.09506294,-635117.35,51.84561,0.002438418,-936376,0,0,0,CaO, CaO,Lime (engl.),16.61809743,1.661809743,Webmineral,
CaO,[],(L),298.15,5000,-639304.1788,-15.94206157,-659409.7975,83.97992,0,0,0,0,0,,,,,,,
CaO2,[],(C),298.15,600,-624639.6936,83.66833331,-658819.5153,82.8234,0,0,0,0,0,CaO2, CaO2,,25.23156536,2.523156536,Materialsproject,
CaO,[],(G),298.15,6000,19379.27112,219.5542337,42988.43163,28.73475,0.02331318,-123288,0,-2.35161E-05,8.84724E-09,,,,,,,
Ca2P2O7,[],(C),298.15,1626,-3181639.118,189.2159779,-3335936.368,221.82449,0.06174108,-4668228,0,0,0,Ca2P2O7, Ca2P2O7,,90.31570107,9.031570107,Materialsproject,
Ca2P2O7,[],(L),298.15,2000,-3262988.844,2.723978919,-3404405.823,404.9144,0,0,0,0,0,,,,,,,
Ca3P2O8,[],(C),298.15,2003,-3942800.337,235.9441154,-4116065.167,201.78792,0.16598144,-2091500,0,0,0,Ca3P2O8, Ca3P2O8,Tuit,90.00490842,9.000490842,Webmineral,
CaSO4,[],(C),298.15,1733,-1332470.485,107.0100633,-1434497.012,113.05,0.0487,-2481000,0,0,0,CaSO4, CaSO4,Anhydrit,45.93237311,4.593237311,Webmineral,
CaSO4,[],(L),298.15,3000,-1294627.999,87.41199089,-1418497.177,165,0,0,0,0,0,,,,,,,
CaSO3,[],(C),298.15,1000,-1110917.418,101.2377998,-1171237.257,76.9672,0.0485228,0,0,0,0,,,,,,,
CaTiO3,[],(C),298.15,2243,-1599749.744,93.75085196,-1661485.073,127.45601,0.00568888,-2798426,0,0,0,CaTiO3, CaTiO3,Perowskit,33.69387755,3.369387755,Webmineral,
CaUO4,[],(C),298.15,2123,-1920272.697,143.0717221,-1997797.087,115.57629,0.0497777,0,0,0,0,,,,,,,
CaWO4,[],(C),298.15,2000,-1604497.154,124.7591512,-1683657.502,111.29,0.052484,0,0,-9.8634E-06,0,,,,,,,
CaZrO3,[],(L),298.15,5000,-1701823.482,36.53734346,-1782537.909,167,0,0,0,0,0,,,,,,,
CaZrO3,[],(C),298.15,2643,-1687662.381,100.0100428,-1765997.004,128.406,0.004301,-2647100,0,0,0,CaZrO3, CaZrO3,Lakargiit,38.05240193,3.805240193,Webmineral,
Ca3P2,[],(C),298.15,1100,-509255.0895,123.8284993,-506139.5117,107.9214,0.0280261,0,0,0,0,,,,,,,
CaPb,[],(C),298.15,1223,-124579.7889,80.73695474,-119632.4929,43.5032,0.0225882,0,0,0,0,CaPb, CaPb,,72.89560504,7.289560504,Materialsproject,
Ca2Pb,[],(C),298.15,1383,-221054.4261,105.4185395,-215421.9309,62.41036,0.02200258,0,0,0,0,Ca2Pb, Ca2Pb,,60.16735889,6.016735889,Materialsproject,
CaS,[],(L),298.15,5500,-370135.6965,55.40076762,-424728.9609,67,0,0,0,0,0,,,,,,,
CaS,[],(G),298.15,6000,73201.57544,232.504817,121336.4898,34.93254852,0.008553914,-164168,0,-1.09616E-05,5.4915E-09,,,,,,,
CaS,[],(C),298.15,2800,-471008.5654,56.50478764,-474998.5778,46.29,0.00837,-118800,0,0,0,CaS, CaS,"Oldhamit = (Ca,Mg,Fe)S",28.12038628,2.812038628,Materialsproject,Data for Ca end member
Ca3Sb2,[],(C),298.15,1620,-739476.0488,157.2922487,-727838.5864,104.9933,0.02949015,0,0,0,0,,,,,,,
CaSe,[],(C),298.15,2000,-374914.1946,69.02433851,-368102.5573,45.5947,0.008366,0,0,0,0,,,,,,,
Ca2Sn,[],(C),298.15,1395,-321372.691,100.399202,-313722.8526,66.0914,0.0184052,0,0,0,0,Ca2Sn, Ca2Sn,,58.27520226,5.827520226,Materialsproject,
Ca2Sn,[],(L),298.15,2000,-232614.2291,119.7402829,-266462.3645,95.7907,0,0,0,0,0,,,,,,,
CaSn,[],(C),298.15,1260,-164420.4602,70.69754141,-158952.5565,43.5032,0.0154771,0,0,0,0,CaSn, CaSn,,37.02984243,3.702984243,Materialsproject,
CaSn,[],(L),298.15,2000,-102519.7651,89.24291607,-125239.0151,63.9999,0,0,0,0,0,,,,,,,
CaTe,[],(C),298.15,1500,-280660.3944,80.73608577,-271893.7519,38.4836,0.0104575,0,0,0,0,,,,,,,
CaZn2,[],(C),298.15,963,-104239.3032,101.6544264,-94115.75589,66.5097,0.02781695,0,0,0,0,CaZn2, CaZn2,,38.70038427,3.870038427,Materialsproject,
CaZn2,[],(L),298.15,2000,-43114.734,129.5794304,-59391.97089,96.6273,0,0,0,0,0,,,,,,,
CaZn,[],(C),298.15,750,-79603.6994,66.51465686,-73201.52207,40.78425,0.0284444,0,0,0,0,CaZn, CaZn,,32.25217705,3.225217705,Materialsproject,
CaZn,[],(L),298.15,2000,-48767.71493,87.89854667,-54596.44771,63.5816,0,0,0,0,0,,,,,,,
CaC2,[],(C),298.15,2573,-72691.98386,69.96625843,-59828.13338,88.75924028,-0.027272322,-1745774,0,1.34187E-05,0,,,,,,,
CaC2,[],(L),298.15,4000,-50467.34655,24.9110677,-51036.7,110,0,0,0,0,0,,,,,,,
CaTiO3,[],(L),298.15,4000,-1508650.151,142.0135831,-1555995.95,135,0,0,0,0,0,,,,,,,
Na3As,[],(C),298.15,1000,-226649.528,138.0488348,-217513.0677,82.4051,0.0514509,0,0,0,0,Na3As, Na3As,,61.54999222,6.154999222,Materialsproject,
NaBO2,[],(L),298.15,3000,-939921.1726,19.5560096,-992021.2782,145,0,0,0,0,0,,,,,,,
NaBO2,[],(G),298.15,6000,-643275.3344,286.2057271,-633449.7398,49.04133606,0.054680872,-386234,0,-3.47296E-05,8.03092E-09,,,,,,,
Na2B4O8,[],(C),298.15,1015,-3102685.979,177.0272919,-3275896.787,-4897.1,17.611,151270000,0,-0.021843,9.37392E-06,,,,,,,
Na2B4O8,[],(L),298.15,3000,-3171780.145,12.42662823,-3334977.5,444.78,0,0,0,0,0,,,,,,,
Na2B6O10,[],(C),298.15,2000,-4365408.517,231.4250181,-4579336.071,-11.016,0.81756,5021400,0,-0.00043491,7.84596E-08,,,,,,,
NaBO2,[],(C),298.15,1239,-924965.0478,73.5366265,-976498.0224,45.658,0.09741,-465100,0,-3.9691E-05,0,,,,,,,
NaBr,[],(L),298.15,3400,-322075.0118,98.26889621,-342397.4186,68,0,0,0,0,0,,,,,,,
NaBr,[],(G),298.15,6000,-188726.8886,241.115997,-145927.8676,36.98390961,0.001699255,-97008,0,-7.63778E-07,2.50083E-10,,,,,,,
Na2Br2,[],(G),298.15,6000,-527350.5674,350.9393476,-480846.4643,82.87815857,0.000576185,-239586,0,-4.5295E-07,1.22087E-10,,,,,,,
NaBr,[],(C),298.15,1020,-356219.3266,86.93515659,-361158.4587,43.845,0.020291,132000,0,0,0,NaBr, NaBr,,32.97061845,3.297061845,Materialsproject,
Na2CO3,[],(L),298.15,3000,-1044492.514,103.40998,-1130303.906,195,0,0,0,0,0,,,,,,,
Na2CO3,[],(C),298.15,1131,-1051677.302,135.011287,-1129186.632,64.118,0.161604,0,0,0,0,Na2CO3, Na2CO3,Natrit,41.67321406,4.167321406,Webmineral,
NaCd2,[],(C),298.15,655,-42956.55237,137.2106134,-29278.55105,71.5293,0.0338823,0,0,0,0,NaCd2, NaCd2,,46.06133829,4.606133829,,
NaCd2,[],(L),298.15,1000,4368.241075,182.733419,1168.738122,89.0979,0,0,0,0,0,,,,,,,
Na3Cl3,[],(G),298.15,6000,-897930.4986,426.6126764,-912669.9598,131.9729004,0.002288385,-545068,0,-1.79731E-06,4.84049E-10,,,,,,,
NaCl,[],(C),298.15,1074,-384685.5182,72.15506946,-411258.4872,47.121,0.007219,20900,0,1.1156E-05,0,NaCl, NaCl,Halit,27.01381791,2.701381791,Webmineral,
NaCl,[],(L),298.15,3400,-347084.9609,83.43209787,-390777.8549,67.9,0,0,0,0,0,,,,,,,
NaCl,[],(G),298.15,6000,-202919.5012,229.6912659,-181540.9413,36.73993683,0.002175966,-133248,0,-1.11614E-06,3.41515E-10,,,,,,,
Na2Cl2,[],(G),298.15,6000,-568348.7299,327.4206108,-564398.8313,82.56793213,0.001247626,-340232,0,-9.80327E-07,2.64091E-10,,,,,,,
Na2CrO4,[],(L),298.15,2000,-1224647.43,185.8598234,-1311650.018,204.5487,0,0,0,0,0,,,,,,,
Na2Cr2O4,[],(C),298.15,1100,-1670031.89,162.3183861,-1750161.637,189.0716,0.0301176,-1715030,0,0,0,Na2Cr2O4, Na2Cr2O4,,25.99276395,2.599276395,Materialsproject,
Na2CrO4,[],(C),298.15,1070,-1258344.815,185.739563,-1328516.717,101.01945,0.13996318,0,0,0,0,Na2CrO4, Na2CrO4,,60.67517591,6.067517591,Materialsproject,
NaCs,[],(G),298.15,6000,84752.85428,262.9677098,125912.9454,28.57245636,0.029689459,236002,0,-2.69449E-05,6.18218E-09,,,,,,,
Na2F2,[],(G),298.15,6000,-836890.5769,297.7950703,-834061.6762,80.76158142,0.005128584,-625850,0,-4.01452E-06,1.07878E-09,,,,,,,
Na3F3,[],(G),298.15,6000,-1329384.643,371.915459,-1348014.486,128.3596191,0.010032123,-1038990,0,-7.84071E-06,2.10452E-09,,,,,,,
NaF,[],(C),298.15,1269,-548732.5287,51.1647098,-576598.5958,60.378,-0.016377,-915500,0,0.000018267,0,NaF, NaF,Villiaumit,14.95297551,1.495297551,Webmineral,
NaF,[],(L),298.15,3800,-505960.1918,57.20708733,-554312.432,70.1,0,0,0,0,0,,,,,,,
NaF,[],(G),298.15,6000,-316142.4129,217.5001499,-295157.8087,35.10178375,0.005652928,-200818,0,-3.84323E-06,1.07371E-09,,,,,,,
NaH,[],(C),298.15,911,-37964.50738,39.99408163,-56365.4047,31.3905,0.03533156,-491882,0,0,0,NaH, NaH,,17.21007386,1.721007386,Materialsproject,
NaH,[],(L),298.15,1200,1804.344674,60.23930887,-33463.77965,55.98662,0,0,0,0,0,,,,,,,
NaH,[],(G),298.15,6000,117474.0926,188.2299292,140799.4383,23.37501,0.02747042,23074,0,-1.88807E-05,4.85086E-09,,,,,,,
Na2O2H2,[],(G),298.15,6000,-562976.873,319.1776783,-589234.4984,117.6976776,-0.010783606,-1206084,0,1.59873E-05,-4.38502E-09,,,,,,,
NaOH,[],(C),298.15,596,-384305.7893,64.43597613,-425878.2159,-7.934,0.158243,1804000,0,0,0,NaOH, NaOH,,20.420176,2.0420176,Materialsproject,
NaOH,[],(L),298.15,3000,-369834.4205,74.88550952,-417084.6787,82.283,0.001195,1093200,0,0,0,,,,,,,
NaOH,[],(G),298.15,6000,-192090.5541,228.4800079,-185648.447,54.73371124,-0.005488142,-479318,0,8.07216E-06,-2.2142E-09,,,,,,,
NaI,[],(C),298.15,934,-287202.5984,98.5652328,-289628.4384,41.968,0.025188,232200,0,0,0,,,,,,,
NaI,[],(L),298.15,3400,-255041.4673,112.5252738,-271467.4697,67,0,0,0,0,0,,,,,,,
NaI,[],(G),298.15,6000,-135328.9005,248.8748141,-90634.30431,37.14458466,0.001384901,-77970,0,-4.70493E-07,1.82481E-10,,,,,,,
Na2I2,[],(G),298.15,6000,-407421.4075,368.6229418,-356867.873,82.99765015,0.000317728,-179326,0,-2.4992E-07,6.7367E-11,,,,,,,
