XNAME,FULLNAME,COND,FIRST,LAST,G,S,H,A,B,C,D,E,F,Table2_NAME,Table2_FORMULA,Table2_Mineral_Name,molar_volume(cm^3/mol),molar_volume(J/bar),Table2_Quelle,Table2_Bemerkungen
LOW_ALBIT,Na2Al2Si6O16,(C),298.15,1698,-7507672.978,420.0144127,-7841857.712,516.1822,0.1162874,-12557366,0,0,0,LOW_ALBIT, Na2Al2Si6O16,Albit,104.7150913,10.47150913,Materialsproject,Only data for normal albite was found. Data for Na=Al=1 
BETA-SPODUMENE,Al2Si4Li2O12,(C),298.15,1700,-5787536.678,308.7381542,-6035641.234,414.28432,0.0911894,-10306912,0,0,0,,,,,,,
SILLIMANITE,Al2SiO5,(C),298.15,1500,-2475814.887,96.1795023,-2588436.323,164.3919,0.03363132,-4609666,0,0,0,SILLIMANITE, Al2SiO5,Sillimanit,49.87838084,4.987838084,Webmineral,
EUCRYPTITE,Al2Si2Li2O8,(C),298.15,1600,-4060822.261,207.4996003,-4229424.202,308.45442,0.0568888,-8784300,0,0,0,,,,,,,
MULLITE_1,Al6Si2O13,(C),298.15,2023,-6530468.894,274.8558318,-6817569.242,233.53689,0.6337245,-5584304,0,-0.000385882,0,MULLITE, Al6Si2O13,Mullit,101.1900312,10.11900312,Webmineral,data for Al+Si=6 normalised formula
KIANITE,Al2SiO5,(C),298.15,1500,-2479972.612,92.1637441,-2593791.346,171.71215,0.02919734,-5212018,0,0,0,KIANITE, Al2SiO5,Kyanit,44.18143569,4.418143569,Webmineral,
ANDALUSITE,Al2SiO5,(C),298.15,1600,-2475766.403,93.20958641,-2589273.319,172.42326,0.02610192,-5111626,0,0,0,ANDALUSITE, Al2SiO5,Andalusit,51.5148976,5.15148976,Webmineral,
MERWINITE,Ca3MgSi2O8,(C),298.15,1700,-4399332.643,253.0968755,-4563227.434,304.9407,0.05036332,-6023520,0,0,0,MERWINITE, Ca3MgSi2O8,Werwinit,98.46651803,9.846651803,Webmineral,
DIOPSIDE,CaMgSi2O6,(C),298.15,1665,-3070764.448,143.0743064,-3201663.317,185.97618,0.12373314,-5588488,0,-4.39215E-05,0,DIOPSIDE, CaMgSi2O6,Diopsid,66.36399118,6.636399118,Webmineral,
MONTISELLITE,CaMgSiO4,(C),298.15,1763,-2175542.039,110.4435896,-2261326.308,150.588,0.03199995,-3283654,0,0,0,MONTISELLITE, CaMgSiO4,Monticellit,51.1641079,5.11641079,Webmineral,
