Symbol,Name,Composition,agg_state,logK,sigma logK,DrHm [kJ/mol],sigma DrHm [kJ/mol],DrCpm [J/(K mol)],sigma DrCpm [J/(K mol)],T-min,T-max,Reaction
CfF+2,CfF+2,CfF+2,aq,4,0.4,11.8,1.6,,,10,55,1 Cf+3 +1 F- = CfF+2
CfSO4+,CfSO4+,CfSO4+,aq,3.6,0.4,18.1,3.1,,,0,55,1 Cf+3 +1 SO4-2 = CfSO4+
CfSCN+2,CfSCN+2,CfS|0|C|0|N|-1|+2,aq,1.5,0.3,,,,,,,1 Cf+3 +1 SCN- = CfSCN+2
