Symbol,Name,Composition,agg_state,DfGm [kJ/mol],sigma DfGm [kJ/mol],DfHm [kJ/mol],sigma DfHm [kJ/mol],Sm [J/(K mol)],sigma Sm [J/(K mol)],Cpm [J/(K mol)],sigma Cpm [J/(K mol)]
Pa+4,Pa+4,Pa|+4|+4,aq,-565.6,18.6,-621.4,14.3,-397,40,,
PaO(OH)+2,PaO(OH)+2,PaO(OH)+2,aq,-1051.7,21.9,-1115,21,-21,21,,
