Symbol,Name,Composition,agg_state,DfGm [kJ/mol],sigma DfGm [kJ/mol],DfHm [kJ/mol],sigma DfHm [kJ/mol],Sm [J/(K mol)],sigma Sm [J/(K mol)],Cpm [J/(K mol)],sigma Cpm [J/(K mol)]
Ox-2,Ox-2,Ox-2,aq,-680.134,1.83,-830.66,1.592,47.597,3.02,,
Cit-3,Cit-3,Cit-3,aq,-1162.258,2.014,-1519.92,2.07,75.587,1.855,,
Edta-4,Edta-4,Edta-4,aq,0,,-1704.8,3.751,,,,
H3Isa-,H3Isa-,H3Isa-,aq,0,,,,,,,
