Symbol,Name,Composition,agg_state,DfGm [kJ/mol],sigma DfGm [kJ/mol],DfHm [kJ/mol],sigma DfHm [kJ/mol],Sm [J/(K mol)],sigma Sm [J/(K mol)],Cpm [J/(K mol)],sigma Cpm [J/(K mol)]
Pb+2,Pb+2,Pb+2,aq,-24.238,0.399,0.92,0.25,18.5,1,,
PbSO4(cr),PbSO4(cr),PbSO4,s,-813.036,0.447,-919.97,0.4,148.5,0.6,,
Pb(cr),Lead,Pb|0|,s,0,0,,,64.8,0.3,26.65,0.1
