symbol,formula,MolMassCSH,MolVolCSH,G0(CSH)ic,G0(CSH)dc,H0(CSH),Hmix(CSH),Cp0(CSH),,,,,,,,,,,,,,,,remaining O,remaining O,remaining H
CSH127+K0086,Ca2.8424Si2.2344K0.1924O10.9451H7.0754,0.366443,13.67705,-4750.83,-4750.83,-5160.85,-7.13964,343.7132,,,,,,,,,,,,,,,,,,
CSH127+K0138,Ca2.7954Si2.1954K0.302O10.8457H7.017,0.3661,13.65402,-4714.88,-4714.88,-5122.01,-6.59609,343.1654,,,,,,,,,,,,,,,,,,
CSH127+K0197,Ca2.744Si2.1538K0.4252O10.7437H6.959,0.365996,13.63603,-4678.04,-4678.04,-5082.58,-5.96705,342.7407,,,,,,,,,,,,,,,,,,
CSH132+K0000,Ca2.9797Si2.2626K0.0001O11.0908H7.1717,0.367642,13.61614,-4813.47,-4813.47,-5232.64,-7.82459,342.2712,,,,,,,,,,,,,,,,,,
CSH136+K0032,Ca2.9934Si2.1989K0.0712O10.9833H7.113,0.367406,13.60709,-4783.77,-4783.77,-5199.08,-7.23509,342.0653,,,,,,,,,,,,,,,,,,
CSH137+K0075,Ca2.9562Si2.165K0.1626O10.8977H7.0604,0.367115,13.67996,-4753.65,-4753.65,-5162.33,-6.74809,343.7871,,,,,,,,,,,,,,,,,,
CSH137+K0126,Ca2.9117Si2.13K0.2675O10.8083H7.0057,0.366964,13.66016,-4721.68,-4721.68,-5127.88,-6.19677,343.3168,,,,,,,,,,,,,,,,,,
CSH137+K0169,Ca2.8758Si2.1028K0.3545O10.7413H6.9653,0.367049,13.65302,-4697.85,-4697.85,-5102.3,-5.73522,343.1502,,,,,,,,,,,,,,,,,,
CSH140+K0000,Ca3.0661Si2.1913K0.0001O11.0194H7.1413,0.36793,13.62651,-4804.64,-4804.64,-5221.42,-7.37048,342.5339,,,,,,,,,,,,,,,,,,
CSH145+K0027,Ca3.0938Si2.1311K0.0572O10.9303H7.0914,0.368108,13.63293,-4783.48,-4783.48,-5196.81,-6.74525,342.6959,,,,,,,,,,,,,,,,,,
CSH146+K0059,Ca3.0695Si2.1069K0.1233O10.8725H7.0551,0.368081,13.6905,-4763.88,-4763.88,-5172.28,-6.36027,344.0489,,,,,,,,,,,,,,,,,,
CSH146+K0101,Ca3.0347Si2.08K0.2101O10.8056H7.0117,0.368206,13.68164,-4740.75,-4740.75,-5147.26,-5.8818,343.8406,,,,,,,,,,,,,,,,,,
CSH146+K0138,Ca3.0054Si2.0589K0.285O10.7557H6.98,0.36854,13.68335,-4723.76,-4723.76,-5129.05,-5.47307,343.8883,,,,,,,,,,,,,,,,,,
CSH148+K0000,Ca3.1468Si2.1291K0.0001O10.9629H7.1157,0.36849,13.64716,-4800.44,-4800.44,-5215.15,-6.87467,343.0388,,,,,,,,,,,,,,,,,,
CSH154+K0020,Ca3.1898Si2.0748K0.0411O10.9001H7.0803,0.369253,13.73951,-4790.76,-4790.76,-5200.9,-6.24752,345.2631,,,,,,,,,,,,,,,,,,
CSH154+K0044,Ca3.1775Si2.0571K0.0895O10.8649H7.0569,0.369567,13.74726,-4780.38,-4780.38,-5187.86,-5.93191,345.4077,,,,,,,,,,,,,,,,,,
CSH155+K0076,Ca3.1554Si2.0389K0.1557O10.8259H7.0297,0.370109,13.74854,-4768.46,-4768.46,-5175.12,-5.54749,345.4457,,,,,,,,,,,,,,,,,,
CSH155+K0106,Ca3.1366Si2.0257K0.2142O10.8004H7.0106,0.370844,13.76206,-4761.4,-4761.4,-5167.7,-5.21923,345.7798,,,,,,,,,,,,,,,,,,
CSH155+K0000,Ca3.2194Si2.0789K0.0001O10.9267H7.0989,0.369391,13.6805,-4802.27,-4802.27,-5215.68,-6.39305,343.8508,,,,,,,,,,,,,,,,,,
CSH161+K0014,Ca3.2785Si2.0332K0.0283O10.9014H7.0847,0.371166,13.77942,-4808.93,-4808.93,-5219.55,-5.77932,346.2216,,,,,,,,,,,,,,,,,,
CSH162+K0030,Ca3.2802Si2.0219K0.0603O10.8926H7.0769,0.372016,13.80194,-4809.78,-4809.78,-5219.36,-5.52846,346.7416,,,,,,,,,,,,,,,,,,
CSH163+K0052,Ca3.2735Si2.0129K0.1048O10.8862H7.069,0.373127,13.83375,-4811.24,-4811.24,-5220.96,-5.24748,347.5199,,,,,,,,,,,,,,,,,,
CSH163+K0072,Ca3.2665Si2.0076K0.1453O10.8869H7.0651,0.374285,13.87105,-4814.79,-4814.79,-5224.85,-5.00845,348.4309,,,,,,,,,,,,,,,,,,
