symbol,formula,MolMassCSH,MolVolCSH,G0(CSH)ic,G0(CSH)dc,H0(CSH),Hmix(CSH),Cp0(CSH),,,,,,,,,,,,,,,,remaining O,remaining O,remaining H
CSH127+N0079,Ca2.8462Si2.2364Na0.1759O10.9456H7.0773,0.363178,13.55914,-4746.073,-4746.073,-5156.207,-7.221039,340.8402,,,,,,,,,,,,,,,,,,
CSH127+N0132,Ca2.7949Si2.1941Na0.2892O10.834H7.0126,0.360692,13.45297,-4702.57,-4702.57,-5109.618,-6.659838,338.271,,,,,,,,,,,,,,,,,,
CSH127+N0196,Ca2.7374Si2.1477Na0.4208O10.7169H6.9474,0.358169,13.34572,-4656.676,-4656.676,-5060.71,-5.985276,335.6783,,,,,,,,,,,,,,,,,,
CSH132+N0000,Ca2.9789Si2.2623Na0.0001O11.0891H7.1711,0.367576,13.71525,-4812.645,-4812.645,-5229.432,-7.82644,344.6738,,,,,,,,,,,,,,,,,,
CSH136+N0029,Ca2.9961Si2.2001Na0.0632O10.9855H7.1152,0.366256,13.56477,-4782.892,-4782.892,-5198.372,-7.273484,341.0281,,,,,,,,,,,,,,,,,,
CSH137+N0070,Ca2.9578Si2.1654Na0.1523O10.8948H7.0601,0.364287,13.57704,-4748.374,-4748.374,-5157.057,-6.798215,341.289,,,,,,,,,,,,,,,,,,
CSH137+N0123,Ca2.9093Si2.1274Na0.2612O10.7946H6.9998,0.362114,13.4819,-4709.527,-4709.527,-5115.452,-6.225364,338.9884,,,,,,,,,,,,,,,,,,
CSH137+N0169,Ca2.8695Si2.0973Na0.3537O10.7185H6.9551,0.360537,13.41075,-4679.999,-4679.999,-5083.981,-5.733396,337.27,,,,,,,,,,,,,,,,,,
CSH140+N0000,Ca3.066Si2.1913Na0.0001O11.0193H7.1413,0.367924,13.64925,-4804.57,-4804.57,-5220.767,-7.370685,343.0837,,,,,,,,,,,,,,,,,,
CSH145+N0025,Ca3.0951Si2.1313Na0.0527O10.93H7.0919,0.367137,13.597,-4781.966,-4781.966,-5195.355,-6.765963,341.8216,,,,,,,,,,,,,,,,,,
CSH146+N0056,Ca3.0698Si2.1064Na0.1181O10.8683H7.0533,0.3659,13.60981,-4759.189,-4759.189,-5167.489,-6.384978,342.0949,,,,,,,,,,,,,,,,,,
CSH146+N0100,Ca3.032Si2.0775Na0.2076O10.7941H7.0066,0.364399,13.54077,-4731.04,-4731.04,-5137.195,-5.890718,340.4285,,,,,,,,,,,,,,,,,,
CSH146+N0139,Ca3.0003Si2.0547Na0.2861O10.7386H6.9717,0.363371,13.49077,-4710.15,-4710.15,-5114.927,-5.462081,339.2234,,,,,,,,,,,,,,,,,,
CSH148+N0000,Ca3.1468Si2.1291Na0.0001O10.9629H7.1157,0.368489,13.64712,-4800.429,-4800.429,-5215.14,-6.874794,343.0379,,,,,,,,,,,,,,,,,,
CSH154+N0019,Ca3.1902Si2.0746Na0.0392O10.8989H7.0798,0.368535,13.71278,-4789.308,-4789.308,-5199.477,-6.255501,344.6175,,,,,,,,,,,,,,,,,,
CSH155+N0043,Ca3.1771Si2.0563Na0.0875O10.8609H7.0549,0.367974,13.68699,-4776.691,-4776.691,-5184.171,-5.939677,343.952,,,,,,,,,,,,,,,,,,
CSH155+N0076,Ca3.1535Si2.0371Na0.1552O10.8182H7.0258,0.367333,13.64332,-4761.755,-4761.755,-5168.346,-5.54659,342.9028,,,,,,,,,,,,,,,,,,
CSH155+N0106,Ca3.1337Si2.0234Na0.2154O10.791H7.0056,0.367082,13.61955,-4752.783,-4752.783,-5158.984,-5.210183,342.3351,,,,,,,,,,,,,,,,,,
CSH155+N0000,Ca3.2198Si2.0787Na0.0001O10.9266H7.0987,0.369396,13.6807,-4802.297,-4802.297,-5215.708,-6.390667,343.8557,,,,,,,,,,,,,,,,,,
CSH161+N0014,Ca3.279Si2.0328Na0.0277O10.9005H7.0841,0.370685,13.76113,-4808.008,-4808.008,-5218.656,-5.778687,345.7804,,,,,,,,,,,,,,,,,,
CSH162+N0030,Ca3.2804Si2.0213Na0.0597O10.8907H7.0757,0.370988,13.76299,-4807.772,-4807.772,-5217.374,-5.527502,345.8007,,,,,,,,,,,,,,,,,,
CSH163+N0052,Ca3.2735Si2.0121Na0.1045O10.8836H7.0673,0.371361,13.76709,-4808.018,-4808.018,-5217.758,-5.244514,345.9094,,,,,,,,,,,,,,,,,,
CSH163+N0072,Ca3.2664Si2.0069Na0.1453O10.8846H7.0635,0.37188,13.78063,-4810.884,-4810.884,-5221.017,-5.005013,346.2467,,,,,,,,,,,,,,,,,,
