Symbol,Name,Composition,agg_state,DfGm [kJ/mol],sigma DfGm [kJ/mol],DfHm [kJ/mol],sigma DfHm [kJ/mol],Sm [J/(K mol)],sigma Sm [J/(K mol)],Cpm [J/(K mol)],sigma Cpm [J/(K mol)]
Ti+3,Ti+3,Ti|+3|+3,aq,-350,5,,,,,,
TiO+2,TiO+2,TiO+2,aq,-577.4,2.5,,,,,,
