Symbol,Name,Composition,agg_state,DfGm [kJ/mol],sigma DfGm [kJ/mol],DfHm [kJ/mol],sigma DfHm [kJ/mol],Sm [J/(K mol)],sigma Sm [J/(K mol)],Cpm [J/(K mol)],sigma Cpm [J/(K mol)]
Tc+3,Tc+3,Tc|+3|+3,aq,71.2,11.2,,,,,,
TcO(OH)2(aq),TcO(OH)2(aq),Tc|+4|O(OH)2(aq),aq,-572.47,10.89,,,,,,
TcO4-,TcO4-,Tc|+7|O4-,aq,-637.4,7.6,-729.4,7.6,199.6,1.5,-15,8
