Symbol,Name,Composition,agg_state,logK,sigma logK,DrHm [kJ/mol],sigma DrHm [kJ/mol],DrCpm [J/(K mol)],sigma DrCpm [J/(K mol)],T-min,T-max,Reaction
TcO2(am_hyd_fr),TcO2(am_hyd_fr),Tc|+4|O2,s,7.66,1.22,,,,,,,1 TcO(OH)2(aq) -1 H2O(l) = TcO2(am_hyd_fr)
TcO2(am_hyd_ag),TcO2(am_hyd_ag),Tc|+4|O2,s,8.72,0.4,,,,,,,1 TcO(OH)2(aq) -1 H2O(l) = TcO2(am_hyd_ag)
