Symbol,Name,Composition,agg_state,DfGm [kJ/mol],sigma DfGm [kJ/mol],DfHm [kJ/mol],sigma DfHm [kJ/mol],Sm [J/(K mol)],sigma Sm [J/(K mol)],Cpm [J/(K mol)],sigma Cpm [J/(K mol)]
Np+3,Np+3,Np|+3|+3,aq,-512.9,5.7,-527.2,2.1,-193.6,20.3,,
Np+4,Np+4,Np|+4|+4,aq,-491.8,5.6,-556,4.2,-426.4,12.4,,
NpO2+,NpO2+,Np|+5|O2+,aq,-907.8,5.6,-978.2,4.6,-45.9,10.7,-4,25
NpO2+2,NpO2+2,Np|+6|O2+2,aq,-795.9,5.6,-860.7,4.7,-92.4,10.5,,
