Symbol,Name,Composition,agg_state,DfGm [kJ/mol],sigma DfGm [kJ/mol],DfHm [kJ/mol],sigma DfHm [kJ/mol],Sm [J/(K mol)],sigma Sm [J/(K mol)],Cpm [J/(K mol)],sigma Cpm [J/(K mol)]
Sm+3,Sm+3,Sm+3,aq,-665.3,2.2,-690,2,-209.3,3.1,-95.9,20
Eu+3,Eu+3,Eu+3,aq,-575.9,4.1,-605.4,4,-217.2,3.2,-80.6,20
Ho+3,Ho+3,Ho+3,aq,-675.6,3,-707.7,3,-228.7,1,-48.7,10
