Symbol,Name,Composition,agg_state,DfGm [kJ/mol],sigma DfGm [kJ/mol],DfHm [kJ/mol],sigma DfHm [kJ/mol],Sm [J/(K mol)],sigma Sm [J/(K mol)],Cpm [J/(K mol)],sigma Cpm [J/(K mol)]
Pd+2,Pd+2,Pd+2,aq,175.4,2.6,176.8,2.6,-88.3,0.3,,
PdO(cr),Palladinite,PdO,s,-82.68,0.35,-112.69,0.32,39.58,0.15,38.61,0.1
Pd(cr),Palladium,Pd|0|,s,0,,0,,37.8,0.4,25.9,0.3
