Symbol,Name,Composition,agg_state,logK,sigma logK,DrHm [kJ/mol],sigma DrHm [kJ/mol],DrCpm [J/(K mol)],sigma DrCpm [J/(K mol)],T-min,T-max,Reaction
PoSO4(s),PoSO4(s),PoSO4,s,8.91,,,,,,,,1 Po+2 1 SO4-2 = PoSO4(s)
Po(SO4)2w1(s),Po(SO4)2:H2O(s),Po(SO4)2(H2O),s,6.33,0.04,,,,,,,1 Po(SO4)3-2 1 H+ 1 H2O(l) -1 HSO4- = Po(SO4)2w1(s)
