Symbol,Name,Composition,agg_state,DfGm [kJ/mol],sigma DfGm [kJ/mol],DfHm [kJ/mol],sigma DfHm [kJ/mol],Sm [J/(K mol)],sigma Sm [J/(K mol)],Cpm [J/(K mol)],sigma Cpm [J/(K mol)]
Am+3,Am+3,Am+3,aq,-598.7,4.8,-616.7,1.5,-201,15,,
AmO2+,AmO2+,Am|+5|O2+,aq,-732.4,6.3,-804.3,5.4,-45.9,10.7,,
