Symbol,Name,Composition,agg_state,logK,sigma logK,DrHm [kJ/mol],sigma DrHm [kJ/mol],DrCpm [J/(K mol)],sigma DrCpm [J/(K mol)],T-min,T-max,Reaction
As(cr),As(cr),As|0|,s,40.989,,-236.98,,,,,,1 HAsO4-2 7 H+ 5 e- -4 H2O(l) = As(cr)
C(cr),Graphite,C|0|,s,21.819,,-167.275,,,,,,1 HCO3- 5 H+ 4 e- -3 H2O(l) = C(cr)
CH4(g),CH4(g),C|-4|H4,g,2.856,,13.797,,-207.47,,,,1 CH4(aq)       = CH4(g)
CO2(g),CO2(g),C|+4|O2,g,7.82,,10.875,,188.054,,,,1 H+ -1 H2O(l) 1 HCO3-   = CO2(g)
H2(g),H2(g),H|0|2,g,3.106,,4.04,,-144.19,,,,1 H2(aq)       = H2(g)
N2(g),N2(g),N|0|2,g,3.186,,10.438,,-221.073,,,,1 N2(aq)       = N2(g)
O2(g),O2(g),O|0|2,g,2.894,,12.06,,-199.788,,,,1 O2(aq)       = O2(g)
H2S(g),H2S(g),H2S|-2|,g,8.01,,-4.3,,,,,,1 HS- 1 H+     = H2S(g)
