Symbol,Name,Composition,agg_state,DfGm [kJ/mol],sigma DfGm [kJ/mol],DfHm [kJ/mol],sigma DfHm [kJ/mol],Sm [J/(K mol)],sigma Sm [J/(K mol)],Cpm [J/(K mol)],sigma Cpm [J/(K mol)]
Ag(cr),Silver,Ag|0|,s,0.0,,0.0,,42.55,0.2,25.35,0.1
Ag2Se(alpha),Ag2Se(alpha),Ag2Se|-2|,s,-46.9,1.3,-40.129,1.32,149.9,0.5,81.15,0.9
