Symbol,Name,Composition,agg_state,DfGm [kJ/mol],sigma DfGm [kJ/mol],DfHm [kJ/mol],sigma DfHm [kJ/mol],Sm [J/(K mol)],sigma Sm [J/(K mol)],Cpm [J/(K mol)],sigma Cpm [J/(K mol)]
CaMg(CO3)2(cr),Dolomite,CaMg(CO3)2,s,-2161.69,1.1,-2324.48,1.08,155.18,0.42,157.53,0.42
MnO(cr),Manganosite,MnO,s,-362.9,0.5,-385.22,0.5,59.71,0.4,,
MnCO3(cr),Rhodochrosite,MnCO3,s,-818.13,0.55,-891.91,0.52,98.03,0.1,,
Mn2O3(cr),Bixbyite,Mn|+3|2O3,s,-882.1,1.0,-959.0,1.0,113.7,0.2,,
Mn3O4(cr),Hausmannite,Mn|+2|Mn|+3|2O4,s,-1282.5,1.4,-1384.5,1.5,164.1,0.2,,
MnO2(cr),Pyrolusite,Mn|+4|O2,s,-465.0,0.7,-520.0,0.7,52.8,0.1,,
