Symbol,Name,Composition,agg_state,DfGm [kJ/mol],sigma DfGm [kJ/mol],DfHm [kJ/mol],sigma DfHm [kJ/mol],Sm [J/(K mol)],sigma Sm [J/(K mol)],Cpm [J/(K mol)],sigma Cpm [J/(K mol)]
Hg2Cl2(cr),Hg2Cl2(cr),Hg|+2|Hg|0|Cl2,s,-210.725,0.47,-265.37,0.4,191.6,0.8,,
HgO(cr),Montroydite(red),HgO,s,-58.523,0.15,-90.79,0.12,70.25,0.3,,
