Symbol,Name,Composition,agg_state,DfGm [kJ/mol],sigma DfGm [kJ/mol],DfHm [kJ/mol],sigma DfHm [kJ/mol],Sm [J/(K mol)],sigma Sm [J/(K mol)],Cpm [J/(K mol)],sigma Cpm [J/(K mol)]
MoO2(cr),Tugarinovite,Mo|+4|O2,s,-533.053,2.51,-587.85,2.09,50.02,0.3,,
MoO3(cr),Molybdite,MoO3,s,-667.49,0.52,-744.6,0.5,77.66,0.5,,
