Symbol,Name,Composition,agg_state,DfGm [kJ/mol],sigma DfGm [kJ/mol],DfGm_Ref,DfGm_Page_2023HUM/THO,DfHm [kJ/mol],sigma DfHm [kJ/mol],DfHm_Ref,DfHm_Page_2023HUM/THO,Sm [J/(K mol)],sigma Sm [J/(K mol)],Sm_Ref,Sm_Page_2023HUM/THO,Cpm [J/(K mol)],sigma Cpm [J/(K mol)],Cpm_Ref,Sm_Page_2023HUM/THO.1
PbSO4(cr),PbSO4(cr),PbSO4,s,-813.036,0.447,1989COX/WAG,500.0,-919.97,0.4,1989COX/WAG,500.0,148.5,0.6,2023HUM/THO,508,,,,
Pb(cr),Lead,Pb|0|,s,0.0,0.0,,,,,,,64.8,0.3,1989COX/WAG,487,26.65,0.1,1989COX/WAG,487.0
