formula,Al,C,Ca,Cl,Cr,Cu,Fe,H,K,Mg,Mn,Na,Ni,O,S,Si,Ti,Zr
Fe18Si12O40(OH)10,0,0,0,0,0,0,18,10,0,0,0,0,0,50,0,12,0,0
Fe2Al4Si3O10(OH)8,4,0,0,0,0,0,2,8,0,0,0,0,0,18,0,3,0,0
Fe2Al4Si5O18,4,0,0,0,0,0,2,0,0,0,0,0,0,18,0,5,0,0
Fe2O3,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0
Fe2Si2O6,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,2,0,0
Fe2SiO4,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,1,0,0
Fe2SiO4,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,1,0,0
Fe2SiO4,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,1,0,0
Fe2TiO4,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,1,0
Fe3Al2Si3O12,2,0,0,0,0,0,3,0,0,0,0,0,0,12,0,3,0,0
Fe3O4,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0
Fe3Si2O5(OH)4,0,0,0,0,0,0,3,4,0,0,0,0,0,9,0,2,0,0
Fe3Si4O10(OH)2,0,0,0,0,0,0,3,2,0,0,0,0,0,12,0,4,0,0
Fe3Si4O10(OH)2,0,0,0,0,0,0,3,2,0,0,0,0,0,12,0,4,0,0
Fe4Al18Si7.5O44(OH)4,18,0,0,0,0,0,4,4,0,0,0,0,0,48,0,7.5,0,0
Fe4Al8Si2O20,8,0,0,0,0,0,4,0,0,0,0,0,0,20,0,2,0,0
Fe5Al2Si3O10(OH)8,2,0,0,0,0,0,5,8,0,0,0,0,0,18,0,3,0,0
Fe7Si8O22(OH)2,0,0,0,0,0,0,7,2,0,0,0,0,0,24,0,8,0,0
Fe7Si8O22(OH)2,0,0,0,0,0,0,7,2,0,0,0,0,0,24,0,8,0,0
FeAl2O4,2,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0
FeAl2Si2O6(OH)4,2,0,0,0,0,0,1,4,0,0,0,0,0,10,0,2,0,0
FeAl2SiO5(OH)2,2,0,0,0,0,0,1,2,0,0,0,0,0,7,0,1,0,0
FeCO3,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0
FeO,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
FeO(OH),0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0
FeS,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FeS,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FeS2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
FeSiO3,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0
FeSiO3,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0
FeTiO3,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0
K0.5Fe5Al2Si8O18(OH)12.5,2,0,0,0,0,0,5,12.5,0.5,0,0,0,0,30.5,0,8,0,0
K0.5Mg5Al2Si8O18(OH)12.5,2,0,0,0,0,0,0,12.5,0.5,5,0,0,0,30.5,0,8,0,0
K2Si4O9,0,0,0,0,0,0,0,0,2,0,0,0,0,9,0,4,0,0
KAl3Si3O10(OH)2,3,0,0,0,0,0,0,2,1,0,0,0,0,12,0,3,0,0
KAlSi2O6,1,0,0,0,0,0,0,0,1,0,0,0,0,6,0,2,0,0
KAlSi3O7(OH)2,1,0,0,0,0,0,0,2,1,0,0,0,0,9,0,3,0,0
KAlSi3O8,1,0,0,0,0,0,0,0,1,0,0,0,0,8,0,3,0,0
KAlSi3O8,1,0,0,0,0,0,0,0,1,0,0,0,0,8,0,3,0,0
KAlSi3O8,1,0,0,0,0,0,0,0,1,0,0,0,0,8,0,3,0,0
KAlSiO4,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0
KCl,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
KFe2Al5Si10O30,5,0,0,0,0,0,2,0,1,0,0,0,0,30,0,10,0,0
KFe3AlSi3O10(OH)2,1,0,0,0,0,0,3,2,1,0,0,0,0,12,0,3,0,0
KFeAlSi4O10(OH)2,1,0,0,0,0,0,1,2,1,0,0,0,0,12,0,4,0,0
KMg2Al3Si2O10(OH)2,3,0,0,0,0,0,0,2,1,2,0,0,0,12,0,2,0,0
KMg2Al5Si10O30,5,0,0,0,0,0,0,0,1,2,0,0,0,30,0,10,0,0
KMg3Al3Si11O30,3,0,0,0,0,0,0,0,1,3,0,0,0,30,0,11,0,0
KMg3AlSi3O10(OH)2,1,0,0,0,0,0,0,2,1,3,0,0,0,12,0,3,0,0
KMgAlSi4O10(OH)2,1,0,0,0,0,0,0,2,1,1,0,0,0,12,0,4,0,0
KMn3AlSi3O10(OH)2,1,0,0,0,0,0,0,2,1,0,3,0,0,12,0,3,0,0
Mg(OH)2,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0
Mg2Al2Si3O10(OH)2,2,0,0,0,0,0,0,2,0,2,0,0,0,12,0,3,0,0
Mg2Al4Si3O10(OH)8,4,0,0,0,0,0,0,8,0,2,0,0,0,18,0,3,0,0
Mg2Al4Si5O17(OH)2,4,0,0,0,0,0,0,2,0,2,0,0,0,19,0,5,0,0
Mg2Al4Si5O18,4,0,0,0,0,0,0,0,0,2,0,0,0,18,0,5,0,0
Mg2Si2O6,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,2,0,0
Mg2Si2O6,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,2,0,0
Mg2Si2O6,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,2,0,0
Mg2SiO4,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,1,0,0
Mg2SiO4,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,1,0,0
Mg2SiO4,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,1,0,0
Mg3Al10SiO20,10,0,0,0,0,0,0,0,0,3,0,0,0,20,0,1,0,0
Mg3Al2Si3O12,2,0,0,0,0,0,0,0,0,3,0,0,0,12,0,3,0,0
Mg3Cr2Si3O12,0,0,0,0,2,0,0,0,0,3,0,0,0,12,0,3,0,0
Mg3Si2O5(OH)4,0,0,0,0,0,0,0,4,0,3,0,0,0,9,0,2,0,0
Mg3Si2O5(OH)4,0,0,0,0,0,0,0,4,0,3,0,0,0,9,0,2,0,0
Mg3Si4O10(OH)2,0,0,0,0,0,0,0,2,0,3,0,0,0,12,0,4,0,0
Mg3Si4O10(OH)2,0,0,0,0,0,0,0,2,0,3,0,0,0,12,0,4,0,0
Mg48Si34O85(OH)62,0,0,0,0,0,0,0,62,0,48,0,0,0,147,0,34,0,0
Mg4Al18Si7.5O44(OH)4,18,0,0,0,0,0,0,4,0,4,0,0,0,48,0,7.5,0,0
Mg4Al4Si2O10(OH)8,4,0,0,0,0,0,0,8,0,4,0,0,0,18,0,2,0,0
Mg4Al8Si2O20,8,0,0,0,0,0,0,0,0,4,0,0,0,20,0,2,0,0
Mg4Si4O12,0,0,0,0,0,0,0,0,0,4,0,0,0,12,0,4,0,0
Mg5Al2Si3O10(OH)8,2,0,0,0,0,0,0,8,0,5,0,0,0,18,0,3,0,0
Mg6Si4O10(OH)8,0,0,0,0,0,0,0,8,0,6,0,0,0,18,0,4,0,0
Mg7Si2O8(OH)6,0,0,0,0,0,0,0,6,0,7,0,0,0,14,0,2,0,0
Mg7Si8O22(OH)2,0,0,0,0,0,0,0,2,0,7,0,0,0,24,0,8,0,0
Mg7Si8O22(OH)2,0,0,0,0,0,0,0,2,0,7,0,0,0,24,0,8,0,0
