group,abbreviation,symbol,formula,H,H_error,S,V,Cp
Oxides,picr,picrochromite,MgCr2O4,-1762.6,3.28,118.3,4.356,126.816640345007
Oxides,pnt,pyrophanite,MnTiO3,-1361.99,2.16,105.5,3.288,99.0682046871671
Oxides,ru,rutile,TiO2,-944.37,0.78,50.5,1.882,55.1379623753487
Oxides,sp,spinel,MgAl2O4,-2301.26,0.84,82,3.978,115.935818742875
Oxides,ten,tenorite,CuO,-156.1,2.18,42.6,1.222,42.3323952829635
Oxides,usp,ulvospinel,Fe2TiO4,-1491.1,1.01,180,4.682,142.268598702025
Hydroxides,br,brucite,Mg(OH)2,-925.65,0.3,63.2,2.463,77.5124524584623
Hydroxides,dsp,diaspore,AlO(OH),-999.86,0.38,34.5,1.786,53.4369125424388
Hydroxides,gth,goethite,FeO(OH),-561.79,0.35,60.3,2.082,74.5315051057541
Carbonates,ank,ankerite,CaFe(CO3)2,-1970.62,0.77,188.46,6.606,163.738555234122
Carbonates,arag,aragonite,CaCO3,-1207.82,0.46,89.8,3.415,81.644558970614
Carbonates,cc,calcite,CaCO3,-1207.88,0.46,92.5,3.689,81.9913000980207
Carbonates,dol,dolomite,CaMg(CO3)2,-2325.76,0.58,156.1,6.429,157.275653882383
Carbonates,mag,magnesite,MgCO3,-1110.93,0.32,65.5,2.803,76.0382350377409
Carbonates,rhc,rhodochrosite,MnCO3,-892.28,0.41,98,3.107,80.6427479833241
Carbonates,sid,siderite,FeCO3,-762.22,0.57,93.3,2.943,82.478981234478
sulfides_hialides,any,anhydrite,CaSO4,-1434.4,3.5,106.9,4.594,96.9549188524358
sulfides_hialides,hlt,halite,NaCl,-411.3,0.22,72.1,2.702,50.5577555
sulfides_hialides,pyr,pyrite,FeS2,-171.64,1.28,52.9,2.394,62.4283460953104
sulfides_hialides,trot,pyrrhotite,FeS,-99.03,1.34,65.5,1.819,42.9206931305393
sulfides_hialides,trov,pyrrhotite,Fe0.875S,-96.02,1.17,57.5,1.738,46.0429912943215
sulfides_hialides,lot,troilite,FeS,-102.16,0.48,60,1.818,42.9206931305393
sulfides_hialides,tro,troilite,FeS,-97.76,0.48,70.8,1.819,42.9206931305393
sulfides_hialides,syv,sylvite,KCl,-436.5,0.22,82.6,3.752,51.5577555
