formula,name,mol_mass,valence,number,type,entropy,entropy_sigma,heat_capacity,heat_capacity_sigma,source
Te,Tellurium,127.6,6,52,element,,,,,NEA;
Th,Thorium,232.0377,4,90,element,51.8,0.5,26.23,,NEA;SUPCRT
Ti,Titanium,47.867,4,22,element,30.72,0.1,,,NEA;
Tl,Thallium,204.38,1,81,element,,,,,
Tm,Thulium,168.9342,3,69,element,,,,,
U,Uranium,238.0289,6,92,element,50.2,0.2,27.66,,NEA;SUPCRT
V,Vanadium,50.9415,5,23,element,,,,,
W,Tungsten,183.84,6,74,element,,,,,
Xe,Xenon,131.293,0,54,element,169.685,0.003,,,NEA;
Y,Yttrium,88.9059,3,39,element,,,,,
Yb,Ytterbium,173.045,3,70,element,,,,,
Zn,Zinc,65.38,2,30,element,41.63,0.15,25.39,0.04,NEA;SUPCRT
Zr,Zirconium,91.224,4,40,element,39.08,,26.08,,NEA;SUPCRT
Zz,Charge,0,1,0,charge,-65.34,0.0015,-14.418,,NEA;SUPCRT
Ace,Acetate,59.0441,-1,0,ligand,,,,,
Adi,Adipate,144.1264,-2,0,ligand,,,,,
Cit,Citrate,189.0997,-3,0,ligand,75.587,1.855,,,SUCPRT;
Edt,Ethylenediaminetetraacetate,288.2128,-4,0,ligand,,,,,
Glu,Glutamic_acid,194.1392,-1,0,ligand,,,,,
Isa,Iso-saccharinat,178.168,-4,0,ligand,,,,,
Mal,Malonate,102.0454,-2,0,ligand,,,,,
Nta,Nitrilotriacetic_acid,188.1156,-3,0,ligand,,,,,
Ox,Oxalate,88.0184,-2,0,ligand,47.597,3.02,,,SUCPRT;
Pht,Phthalat,164.1172,-2,0,ligand,,,,,
Pyr,Pyrophos,173.9406,-4,0,ligand,,,,,
Scn,Thiocyanat,58.0822,-1,0,ligand,,,,,
Sub,Suberate,172.1804,-2,0,ligand,,,,,
Suc,Succinat,116.0724,-2,0,ligand,,,,,
