XNAME,FULLNAME,COND,FIRST,LAST,G,S,H,Cp,Table2_NAME,Table2_FORMULA,Table2_Mineral_Name,molar_volume(cm^3/mol),molar_volume(J/bar),Table2_Quelle,Table2_Bemerkungen,Table4.XNAME,Table4.SOURCE,Table4.ENTAL,Table4.FIRST,Table4.LAST,Table4.INTERV,Table4.G0,Table4.LT1,Table4.UT1,Table4.A1,Table4.B1,Table4.C1,Table4.D1,Table4.E1,Table4.F1,Table4.LT2,Table4.UT2,Table4.A2,Table4.B2,Table4.C2,Table4.D2,Table4.E2,Table4.F2,Table4.LT3,Table4.UT3,Table4.A3,Table4.B3,Table4.C3,Table4.D3,Table4.E3,Table4.F3,Table4.LT4,Table4.UT4,Table4.A4,Table4.B4,Table4.C4,Table4.D4,Table4.E4,Table4.F4,Table4.LT5,Table4.UT5,Table4.A5,Table4.B5,Table4.C5,Table4.D5,Table4.E5,Table4.F5,Table4.LT6,Table4.UT6,Table4.A6,Table4.B6,Table4.C6,Table4.D6,Table4.E6,Table4.F6
MgO2H2,[],(C),298.15,1000,-844117.5064,63.18779202,-924347.6882,77.11076818,MgO2H2, MgO2H2,Brucit,24.63055571,2.463055571,Webmineral,Mg(OH)2,MgO2H2,1560,-935.76,298.15,1000,1,-844117.5064,298.15,1000,100.062,0.018314,-2525600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MgO2H2,[],(G),298.15,6000,-528172.4987,271.4735604,-552020.2181,80.64299229,,,,,,,,MgO2H2,765,-569.15,298.15,6000,2,-528172.4987,298.15,1500,90.78794861,0.001669967,-993772,0,6.61224E-06,-1.9347E-09,1500,6000,97.80506897,0.006786418,-9958358,0,-1.20218E-06,7.50641E-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MgI2,[],(C),298.15,906,-363874.1796,134.007513,-367097.7677,74.4748566,,,,,,,,MgI2,776,-384.1,298.15,906,1,-363874.1796,298.15,906,68.94,0.018564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MgI2,[],(L),298.15,2000,-337672.6223,139.470357,-353182.9327,100,,,,,,,,MgI2,776,-384.1,298.15,2000,1,-337672.6223,298.15,2000,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MgI2,[],(G),298.15,6000,-215865.2926,313.709291,-163804.4225,59.36059428,,,,,,,,MgI2,777,-179.1,298.15,6000,2,-215865.2926,298.15,1500,61.1740036,0.002536925,-214044,0,-1.97982E-06,5.30927E-10,1500,6000,62.35138702,3.95104E-06,-311748,0,-8.37464E-10,6.08281E-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MgI,[],(G),298.15,6000,11207.52246,252.2616466,61216.65044,36.07842836,,,,,,,,MgI,775,51.474,298.15,6000,2,11207.52246,298.15,1500,37.04458618,0.001151001,-112168,0,-5.96317E-07,2.07729E-10,1500,6000,22.98218536,0.011696466,7340922,0,-2.8224E-06,1.96921E-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MgLa,[],(C),298.15,1018,-30743.52132,93.07744833,-17985.30096,56.6344485,,,,,,,,MgLa,Kub,-17.987,298.15,1018,1,-30743.52132,298.15,1018,50.69796,0.01991108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mg,[],(C),298.15,923,1.00537437,32.68251181,0.746188123,24.90000151,Mg, Mg,,13.9984662,1.39984662,Mindat,,Mg,758,-5,298.15,923,1,1.00537437,298.15,923,22.03,0.010226,-20200,0,5.44E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mg,[],(L),298.15,2400,9105.97317,34.52256565,4827.4343,34.3,,,,,,,,Mg,758,-5,298.15,2400,1,9105.97317,298.15,2400,34.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mg,[],(G),298.15,10000,113755.7402,148.5402066,147100.9775,20.78601525,,,,,,,,Mg,759,140.903,298.15,10000,3,113755.7402,298.15,1500,20.78586578,3.48966E-07,6,0,-2.68878E-10,6.91056E-14,1500,6000,34.13587952,-0.008640031,-9318346,0,1.68977E-06,-5.3231E-11,6000,10000,-175.2394409,0.05021972,931416512,0,-3.99463E-06,1.06928E-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mg2,[],(G),298.15,3000,233770.0748,240.7320735,286514.0064,24.19592609,,,,,,,,Mg2,1558,276.972,298.15,3000,1,233770.0748,298.15,3000,20.53067398,0.000318943,318434,0,-1.41753E-07,2.11429E-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MgMoO4,[],(C),298.15,1503,-1322468.891,118.809383,-1400632.367,121.0840043,,,,,,,,MgMoO4,New,-1400.636,298.15,1503,1,-1322468.891,298.15,1503,105.36977,0.0527058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MgN,[],(G),298.15,6000,434174.5361,219.0345141,470517.2199,35.08549881,,,,,,,,MgN,New,470.511,298.15,6000,2,434174.5361,298.15,1500,27.848,0.018964,0,0,1.57914E-05,6.7776E-09,1500,6000,27.848,0.018964,0,0,1.57914E-05,6.7776E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mg3N2,[],(C),298.15,2500,-413483.0858,85.00930138,-461297.2413,92.04857518,Mg3N2, Mg3N2,,37.91554878,3.791554878,Materialsproject,,Mg3N2,781,-471.8,298.15,2500,1,-413483.0858,298.15,2500,120.47,0.008611,-2754700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MgN2O6,[],(C),298.15,699,-628656.4443,163.9861768,-790290.2517,125.0492598,MgN2O6, MgN2O6,,64.4826087,6.44826087,,,MgN2O6,New,-790.294,298.15,699,1,-628656.4443,298.15,699,44.67444,0.2978296,-748756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MgO,[],(C),298.15,3100,-573404.6214,26.95376227,-601498.8835,37.23700821,MgO, MgO,Periklas,11.17859879,1.117859879,Webmineral,,MgO,761,-606.66,298.15,3100,1,-573404.6214,298.15,3100,45.816,0.009029,-972400,0,-4.046E-06,1.042E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MgO,[],(L),298.15,5100,-569494.3758,-26.65693846,-607534.7707,84,,,,,,,,MgO,761,-606.66,298.15,5100,1,-569494.3758,298.15,5100,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MgO,[],(G),298.15,10000,8587.690851,213.3358917,32284.4248,32.32712558,,,,,,,,MgO,762,23.345,298.15,10000,3,8587.690851,298.15,1500,-8.44888115,0.097602039,1302200,0,-3.22097E-05,-4.14319E-09,1500,6000,51.20831299,-0.009455847,24509410,0,2.51513E-06,-1.97557E-10,6000,10000,63.2141037,-0.003048749,-187493038,0,8.52532E-08,1.73015E-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mg3P2O8,[],(L),298.15,3000,-3679551.529,-27.28125162,-3852622.865,474.540435,,,,,,,,Mg3P2O8,Kub,-3779.759,298.15,3000,1,-3679551.529,298.15,3000,474.540435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mg3P2O8,[],(C),298.15,1621,-3598332.774,189.1766971,-3779752.608,213.0562522,Mg3P2O8, Mg3P2O8,Farringtonit,95.43587569,9.543587569,Webmineral,Mg3(PO4)2,Mg3P2O8,Kub,-3779.759,298.15,1621,1,-3598332.774,298.15,1621,121.411575,0.335706665,108758,0,-0.000108779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MgSO4,[],(L),298.15,2000,-1178100.131,67.01840797,-1288557.899,155,,,,,,,,MgSO4,780,-1304.2,298.15,2000,1,-1178100.131,298.15,2000,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MgSO4,[],(C),298.15,1410,-1185908.724,91.60972979,-1288797.111,96.39896878,MgSO4, MgSO4,,41.62202586,4.162202586,Materialsproject,,MgSO4,780,-1304.2,298.15,1410,2,-1185908.724,298.15,1283,85.18,0.087575,-1167100,0,-1.9825E-05,0,1283,1410,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MgSeO3,[],(C),298.15,1069,-837392.1346,93.70832004,-899969.2807,90.64182439,,,,,,,,MgSeO3,Kub,-899.972,298.15,1069,1,-837392.1346,298.15,1069,76.5489,0.0472679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MgTiO3,[],(C),298.15,1933,-1505182.831,74.55029239,-1570713.246,91.69995177,MgTiO3, MgTiO3,Geikielit,31.68750099,3.168750099,Webmineral,,MgTiO3,New,-1570.716,298.15,1933,1,-1505182.831,298.15,1933,118.33707,0.01372024,-2731500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mg2TiO4,[],(C),298.15,2023,-2078526.33,109.1892389,-2164699.144,128.6496249,Mg2TiO4, Mg2TiO4,Qandilit,44.66922909,4.466922909,Materialsproject,data for pure Mg2Ti end member,Mg2TiO4,New,-2164.703,298.15,2023,1,-2078526.33,298.15,2023,150.42068,0.03572282,-2882086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MgTi2O5,[],(C),298.15,1953,-2399822.558,127.1779905,-2506449.592,147.0519194,MgTi2O5, MgTi2O5,"Armalcolit = (Mg,Fe)Ti2O5",56.32448031,5.632448031,Materialsproject,data for Mg end member,MgTi2O5,New,-2506.454,298.15,1953,1,-2399822.558,298.15,1953,170.16444,0.0384836,-3074504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MgWO4,[],(C),298.15,1631,-1450095.304,101.2404142,-1534320.477,117.4188492,,,,,,,,MgWO4,New,-1534.324,298.15,1631,1,-1450095.304,298.15,1631,100.89396,0.05542475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mg3P2,[],(C),298.15,1200,-459370.3001,77.39566392,-464309.9695,101.0164801,Mg3P2, Mg3P2,,66.17278821,6.617278821,Materialsproject,,Mg3P2,Kub,-464.313,298.15,1200,1,-459370.3001,298.15,1200,80.3136,0.0694378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mg2Pb,[],(L),298.15,2000,833.0013738,159.8818956,-10771.51316,94.9541,,,,,,,,Mg2Pb,Kub,-48.105,298.15,2000,1,833.0013738,298.15,2000,94.9541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mg2Pb,[],(C),298.15,822,-61710.19387,119.2231641,-48102.71481,76.17133196,Mg2Pb, Mg2Pb,,49.833817,4.9833817,Materialsproject,,Mg2Pb,Kub,-48.105,298.15,822,2,-61710.19387,298.15,710,65.88225,0.03450975,0,0,0,0,710,822,92.8626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MgS,[],(C),298.15,2500,-344778.6099,50.33458095,-347998.634,45.55965692,MgS, MgS,,21.52493772,2.152493772,Materialsproject,,MgS,778,-356.33,298.15,2500,1,-344778.6099,298.15,2500,45.544,0.008757,-230700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MgS,[],(L),298.15,4000,-259947.9479,47.91409401,-305945.9311,67,,,,,,,,MgS,778,-356.33,298.15,4000,1,-259947.9479,298.15,4000,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MgS,[],(G),298.15,6000,72507.54632,225.5331813,120564.9829,35.93265583,,,,,,,,MgS,779,111.276,298.15,6000,2,72507.54632,298.15,1500,-0.48466134,0.166682983,31272,0,-0.00016869,5.14824E-08,1500,6000,41.95436859,-0.003541103,9468622,0,1.19229E-06,-9.36063E-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mg3Sb2,[],(C),298.15,1198,-309466.56,130.3130183,-300084.2525,124.9137499,Mg3Sb2, Mg3Sb2,,80.37992158,8.037992158,Materialsproject,,Mg3Sb2,Kub,-300.088,298.15,1198,1,-309466.56,298.15,1198,112.941,0.0401568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mg3Sb2,[],(L),298.15,3000,-203957.6157,161.2680056,-242717.516,160.6272,,,,,,,,Mg3Sb2,Kub,-300.088,298.15,3000,2,-203957.6157,298.15,1518,160.6272,0,0,0,0,0,1518,3000,160.6272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MgSe,[],(C),298.15,1900,-279226.8716,61.49492596,-272730.5611,47.96416872,,,,,,,,MgSe,Kub,-272.732,298.15,1900,1,-279226.8716,298.15,1900,42.87575,0.01706664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MgTe,[],(C),298.15,1500,-217974.2197,74.4615016,-209148.777,40.76490363,,,,,,,,MgTe,Kub,-209.15,298.15,1500,1,-217974.2197,298.15,1500,37.647,0.0104575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MgB12,[],(C),298.15,2000,-159455.1824,89.61525195,-143925.4532,151.5979921,,,,,,,,MgB12,Kie,-143.93,298.15,2000,1,-159455.1824,298.15,2000,268.6877953,0.056462432,-11930766,0,3.26452E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaB2O4,[],(C),298.15,1435,-1948704.133,105.0037542,-2030048.885,103.9544926,,,,,,,,CaB2O4,New,-2030.052,298.15,1435,1,-1948704.133,298.15,1435,129.75666,0.04082608,-3375680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaB2O4,[],(L),298.15,2500,-1850220.025,122.6398896,-1978179.006,192.418,,,,,,,,CaB2O4,New,-2030.052,298.15,2500,1,-1850220.025,298.15,2500,192.418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaB4O7,[],(C),298.15,1260,-3206368.926,134.7084883,-3358609.263,157.9021368,,,,,,,,CaB4O7,New,-3358.614,298.15,1260,1,-3206368.926,298.15,1260,214.75522,0.08014628,-7178028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaB4O7,[],(L),298.15,2500,-3044593.507,185.0624358,-3270217.023,322.091,,,,,,,,CaB4O7,New,-3358.614,298.15,2500,1,-3044593.507,298.15,2500,322.091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca2B2O5,[],(C),298.15,1585,-2628850.149,143.9100012,-2731494.585,147.0453573,,,,,,,,Ca2B2O5,New,-2731.499,298.15,1585,2,-2628850.149,298.15,804,183.00625,0.0481045,-4471628,0,0,0,804,1585,183.00625,0.0481045,-4471628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca2B2O5,[],(L),298.15,2500,-2490658.914,164.8531497,-2659278.753,263.529,,,,,,,,Ca2B2O5,New,-2731.499,298.15,2500,1,-2490658.914,298.15,2500,263.529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca3B2O6,[],(C),298.15,1760,-3304142.613,183.6525979,-3427837.365,187.8165746,,,,,,,,Ca3B2O6,New,-3427.843,298.15,1760,1,-3304142.613,298.15,1760,236.08852,0.04358686,-5446266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca3B2O6,[],(L),298.15,3000,-3094658.684,216.218729,-3318244.167,317.908,,,,,,,,Ca3B2O6,New,-3427.843,298.15,3000,1,-3094658.684,298.15,3000,317.908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca3Bi2,[],(C),298.15,1203,-539114.2268,177.7907529,-527054.0484,131.7180687,,,,,,,,Ca3Bi2,Kub,-527.058,298.15,1203,1,-539114.2268,298.15,1203,124.2351,0.025098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaBr,[],(G),298.15,6000,-79461.23351,253.374484,-30880.04188,36.38859402,,,,,,,,CaBr,803,-40.737,298.15,6000,2,-79461.23351,298.15,1500,37.16931152,0.001059271,-94868,0,-3.69202E-07,1.31724E-10,1500,6000,46.72224426,-0.008323235,-3457874,0,2.88439E-06,-2.44696E-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaBr2,[],(C),298.15,1015,-679220.3099,130.0075739,-684997.7501,75.06057963,CaBr2, CaBr2,,61.94404096,6.194404096,Materialsproject,,CaBr2,804,-702,298.15,1015,1,-679220.3099,298.15,1015,73.771,0.013192,-235000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaBr2,[],(L),298.15,3800,-648745.7612,134.7971411,-669046.8994,100,,,,,,,,CaBr2,804,-702,298.15,3800,1,-648745.7612,298.15,3800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaBr2,[],(G),298.15,6000,-437687.3988,310.0247269,-388395.3889,60.28528209,,,,,,,,CaBr2,805,-404,298.15,6000,2,-437687.3988,298.15,1500,61.9132843,0.00095985,-164688,0,-7.5262E-07,2.02506E-10,1500,6000,62.35900116,-6.7369E-07,-202932,0,1.53336E-10,-1.03246E-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaBrOH,[],(G),298.15,6000,-499110.769,312.2010335,-480577.1829,67.99348002,,,,,,,,CaBrOH,1365,-496.564,298.15,6000,2,-499110.769,298.15,1500,74.9262085,-0.004454329,-553548,0,7.6518E-06,-2.17962E-09,1500,6000,76.42036438,0.003171288,-4960088,0,-5.63214E-07,3.52331E-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaCO3,[],(C),298.15,1603,-1133448.915,91.71843738,-1206597.498,83.47200404,CaCO3, CaCO3,Kalzit,36.91371548,3.691371548,Webmineral,,CaCO3,812,-1221.08,298.15,1603,1,-1133448.915,298.15,1603,99.546,0.027137,-2148100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaCO3,[],(L),298.15,2000,-1147085.336,36.24348612,-1221683.731,160,,,,,,,,CaCO3,812,-1221.08,298.15,2000,1,-1147085.336,298.15,2000,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca,[],(C),298.15,1115,1.152910759,41.60260564,0.778063527,25.94146004,Ca, Ca,,25.46868715,2.546868715,Materialsproject,in my opinion this is the good structure for elementary Ca because Hf=0 after Materialsproject,Ca,783,-5.73,298.15,1115,2,1.152910759,298.15,716,16.314,0.022209,267200,0,0,0,716,1115,6.276,0.032384,1046000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca,[],(L),298.15,3300,19362.87699,50.78708467,11050.3363,31,,,,,,,,Ca,783,-5.73,298.15,3300,1,19362.87699,298.15,3300,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca,[],(G),298.15,10000,144525.3851,154.7784869,177800.9878,20.78612356,,,,,,,,Ca,784,171.603,298.15,10000,3,144525.3851,298.15,1500,20.76078796,8.30103E-05,712,0,-9.39828E-08,3.51248E-11,1500,6000,106.2888184,-0.067075415,-46805292,0,1.78308E-05,-1.33756E-09,6000,10000,240.6791992,-0.026330164,-2164990998,0,9.21767E-07,-3.69396E-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaCl,[],(G),298.15,6000,-130865.1545,241.5252558,-103772.5513,35.68466147,,,,,,,,CaCl,799,-113.368,298.15,6000,2,-130865.1545,298.15,1500,36.79039764,0.001826547,-139408,0,-1.01058E-06,2.93287E-10,1500,6000,54.1332016,-0.012721628,-9267464,0,3.58884E-06,-2.62099E-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaCl2,[],(C),298.15,1048,-748845.9289,108.4073444,-795797.8172,72.84556386,CaCl2, CaCl2,Hydrophilit,50.74255804,5.074255804,Webmineral,,CaCl2,801,-811.1,298.15,1048,1,-748845.9289,298.15,1048,71.877,0.012719,-251000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaCl2,[],(L),298.15,3900,-783660.5443,6.690068438,-828363.003,338.5985534,,,,,,,,CaCl2,801,-811.1,298.15,3900,1,-783660.5443,298.15,3900,89.66,0,22129000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaCl2,[],(G),298.15,6000,-491767.9151,286.2854563,-485241.8155,59.04675477,,,,,,,,CaCl2,802,-500.1,298.15,6000,2,-491767.9151,298.15,1500,61.38518524,0.002092005,-251424,0,-1.63597E-06,4.39225E-10,1500,6000,62.35649872,8.29632E-07,-333790,0,-1.51588E-10,9.20748E-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaClOH,[],(G),298.15,6000,-545288.1911,300.2030133,-548228.1202,67.35003922,,,,,,,,CaClOH,1364,-563.894,298.15,6000,2,-545288.1911,298.15,1500,74.65504456,-0.003870375,-598794,0,7.19453E-06,-2.05672E-09,1500,6000,76.41972351,0.003171481,-5027904,0,-5.63209E-07,3.52295E-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaF,[],(G),298.15,6000,-303080.8344,229.0243835,-276404.4827,33.66497458,,,,,,,,CaF,795,-285.536,298.15,6000,2,-303080.8344,298.15,1500,34.44947815,0.006667503,-211598,0,-4.79652E-06,1.29476E-09,1500,6000,51.33601379,-0.009988062,-8694724,0,2.62953E-06,-1.65738E-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaF2,[],(C),298.15,1691,-1178489.127,68.45673482,-1227997.99,67.02746258,CaF2, CaF2,Fluorit,24.54624574,2.454624574,Webmineral,,CaF2,797,-1239.64,298.15,1691,3,-1178489.127,298.15,1000,122.478,-0.110307,-2651500,0,8.1731E-05,0,1000,1424,-100858.297,173.424666,13533735600,0,-0.111377511,2.53687E-05,1424,1691,-1428.1,0.65552,1282992700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaF2,[],(L),298.15,4500,-1123634.992,67.92641797,-1200650.876,99,,,,,,,,CaF2,797,-1239.64,298.15,4500,1,-1123634.992,298.15,4500,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
