Symbol,Default Valence,DfGm [kJ/mol],DfHm [kJ/mol],Sm [J/(K mol)],sigma Sm [J/(K mol)],Cpm [J/(K mol)],sigma Cpm [J/(K mol)]
Al,3,0,0,28.3,,24.20,4
Zn(cr),2,0,0,41.63,0.15,25.39,0.04
